bid,isbn,name,author,publisher,publicationdate,stock,borrowed
26,978-7-5085-3742-9,梦想照亮生活,李朝全著,五洲传播出版社,2019-05-01,20,0
27,978-7-122-34294-2,中兽医验方与妙用精编,胡元亮主编,化学工业出版社,2019-05-01,20,0
28,978-7-122-33724-5,动物巢穴,童心编著,化学工业出版社,2019-05-01,20,0
29,978-7-122-30975-4,活得更好，更长久,(法)萧夏(Claude Chauchard)著,化学工业出版社,2019-05-01,20,0
30,978-7-5648-3443-2,大学生就业指导,朱江主编,湖南师范大学出版社,2019-05-01,20,0
31,978-7-122-34049-8,流行饰品设计,闫黎编著,化学工业出版社,2019-05-01,20,0
32,978-7-122-33621-7,战狼少年,八路著,化学工业出版社,2019-05-01,20,0
33,978-7-5085-4090-0,我在紫禁城,吴洋图/文,五洲传播出版社,2019-05-01,20,0
34,978-7-122-34073-3,幼儿十万个为什么,沐渔文化编绘,化学工业出版社,2019-05-01,20,0
35,978-7-122-34348-2,家用电器维修技能完全掌握,孙立群，付玲主编,化学工业出版社,2019-05-01,20,0
36,978-7-122-34371-0,汽车液压、液力与气动技术,田晋跃主编,化学工业出版社,2019-05-01,20,0
37,978-7-5085-4300-0,瞬间回眸,徐京星主编,五洲传播出版社,2019-05-01,20,0
38,978-7-5524-8500-4,朝鲜族幼儿园教育活动资料,金昌珍主编,延边教育出版社,2019-05-01,20,0
39,978-7-5524-8717-6,优派全能检测,李现华主编,延边教育出版社,2019-05-01,20,0
40,978-7-122-34067-2,危险化学品目录汇编,应急管理部化学品登记中心,化学工业出版社,2019-05-01,20,0
41,978-7-307-20975-6,全唐文作者小传辨证,王辉斌著,武汉大学出版社,2019-05-01,20,0
42,978-7-122-34690-2,新科学教育论纲,朱永新著,化学工业出版社,2019-05-01,20,0
43,978-7-5085-4206-5,元曲三百首,许渊冲译,五洲传播出版社,2019-05-01,20,0
44,978-7-122-33948-5,秦汉故事,稚子文化编绘,化学工业出版社,2019-05-01,20,0
45,978-7-122-34802-9,压铸模具设计实用教程,黄尧，黄勇主编,化学工业出版社,2019-05-01,20,0
46,978-7-122-34169-3,Word/Excel/PPT高效办公实战从入门到精通,风云工作室编著,化学工业出版社,2019-05-01,20,0
47,978-7-5085-3660-6,袁隆平的世界,陈启文著,五洲传播出版社,2019-05-01,20,0
48,978-7-122-33866-2,我的文艺风手账,(马来)Pooi Chin著,化学工业出版社,2019-05-01,20,0
49,978-7-122-33335-3,新编蛋鸡饲料配方600例,刘月琴，刘洁主编,化学工业出版社,2019-05-01,20,0
50,978-7-5398-8550-6,邂逅经典·欧洲博物馆头像雕塑研究,朱莉编著,安徽美术出版社,2019-05-01,20,0
51,978-7-122-34640-7,黄酒米酒生产,曾洁，高海燕，于小磊主编,化学工业出版社,2019-05-01,20,0
52,978-7-122-33593-7,药用基础化学,陈任宏，王秀芳，卫月琴主编,化学工业出版社,2019-05-01,20,0
53,978-7-307-21036-3,当代物流与供应链管理研究,付雅琴著,武汉大学出版社,2019-05-01,20,0
54,978-7-5085-4209-6,宋词与宋画,许渊冲译著,五洲传播出版社,2019-05-01,20,0
55,978-7-122-33736-8,培训班应该这样开,杨新宇著,化学工业出版社,2019-05-01,20,0
56,978-7-5534-6147-2,别让数码产品伤了孩子,(韩)申宜真著,吉林出版集团有限责任公司,2019-05-01,20,0
57,978-7-5648-3635-1,字词句篇与达标训练,蒋应主编,湖南师范大学出版社,2019-05-01,20,0
58,978-7-5139-2388-0,读读童谣和儿歌,吴迪诗编,民主与建设出版社有限责任公司,2019-05-01,20,0
59,978-7-5085-4089-4,我在紫禁城,吴洋编绘,五洲传播出版社,2019-05-01,20,0
60,978-7-5509-2363-8,水利工程经济,郑立梅，刘启够，赵吴静主编,黄河水利出版社,2019-05-01,20,0
61,978-7-122-34003-0,图解数控铣/加工中心加工工艺与编程从新手到高手,翟瑞波编著,化学工业出版社,2019-05-01,20,0
62,978-7-5199-0459-3,立己立人 共同成长,骆奇主编,研究出版社,2019-05-01,20,0
63,978-7-5139-2490-0,情注乡土,金仁萍著,民主与建设出版社有限责任公司,2019-05-01,20,0
64,978-7-122-33958-4,机械设备维修全程图解,钟翔山主编,化学工业出版社,2019-05-01,20,0
65,978-7-122-33878-5,小学生必背古诗词112首,知远主编,化学工业出版社,2019-05-01,20,0
66,978-7-122-34033-7,明亮的眼睛,彭桂兰文,化学工业出版社,2019-05-01,20,0
67,978-7-5180-6557-8,高情商管理,沈培亮编著,中国纺织出版社有限公司,2019-05-01,20,0
68,978-7-307-20816-2,中国共产党思想政治教育史料选辑,李德芳，杨素稳，李辽宁主编,武汉大学出版社,2019-05-01,20,0
69,978-7-122-33720-7,爬行动物,童心编著,化学工业出版社,2019-05-01,20,0
70,978-7-122-34426-7,生物化学基础,靳利娥等编,化学工业出版社,2019-05-01,20,0
71,978-7-5524-8604-9,新编高考题库,杜志建主编,延边教育出版社,2019-05-01,20,0
72,978-7-122-34035-1,不要担心试一试,(美)乔·鲁克斯(Jo Rooks)著,化学工业出版社,2019-05-01,20,0
73,978-7-5139-2429-0,小飞象,美国迪士尼公司著,民主与建设出版社有限责任公司,2019-05-01,20,0
74,978-7-307-19562-2,中国特色人权发展道路论纲,李龙，范兴科著,武汉大学出版社,2019-05-01,20,0
75,978-7-307-20943-5,我国环境污染第三方治理的环境法冲突及其解决机制研究,冯振强著,武汉大学出版社,2019-05-01,20,0
76,978-7-5581-6211-4,逻辑说服力,张卉妍编著,吉林出版集团股份有限公司,2019-05-01,20,0
77,978-7-5524-8711-4,优派全能检测,李现华主编,延边教育出版社,2019-05-01,20,0
78,978-7-122-33274-5,拖拉机电液控制技术,尹修杰著,化学工业出版社,2019-05-01,20,0
79,978-7-5581-6210-7,管人要稳 管事要准,崔雪梅编著,吉林出版集团股份有限公司,2019-05-01,20,0
80,978-7-5199-0320-6,对外宣传的翻译理论与实践,季宇绮著,研究出版社,2019-05-01,20,0
81,978-7-122-34439-7,基础化学,高琳，熊衍才，王亮主编,化学工业出版社,2019-05-01,20,0
82,978-7-5180-6328-4,闲情偶寄全鉴,(清)李渔著,中国纺织出版社有限公司,2019-05-01,20,0
83,978-7-122-34935-4,客舱服务安全与应急实务,于莉，于传奇，马丽群编,化学工业出版社,2019-05-01,20,0
84,978-7-122-35025-1,合成生物学,李春主编,化学工业出版社,2019-05-01,20,0
85,978-7-5472-4926-0,快乐英语,邹慕白编,吉林文史出版社,2019-05-01,20,0
86,978-7-122-34901-9,宝宝如厕训练没烦恼,(美)T.贝里·布雷泽尔顿,化学工业出版社,2019-05-01,20,0
87,978-7-5648-3573-6,是非教育,周生龙，郑进军主编,湖南师范大学出版社,2019-05-01,20,0
88,978-7-5581-6208-4,别在该努力的时候只谈梦想,文峰编著,吉林出版集团股份有限公司,2019-05-01,20,0
89,978-7-5524-8473-1,优+学案·课时通,肖荣德主编,延边教育出版社,2019-05-01,20,0
90,978-7-5524-8548-6,新编高考题库,杜志建主编,延边教育出版社,2019-05-01,20,0
91,978-7-5199-0622-1,中小学结构式团体心理辅导,高亚兵著,研究出版社,2019-05-01,20,0
92,978-7-122-34383-3,城市的四季,童心编绘,化学工业出版社,2019-05-01,20,0
93,978-7-5509-2408-6,建筑材料与检测,孙家国，欧阳和平，钟含主编,黄河水利出版社,2019-05-01,20,0
94,978-7-5085-4248-5,当代中国政治,陈坚著,五洲传播出版社,2019-05-01,20,0
95,978-7-5648-3574-3,生命教育,周生龙，郑进军主编,湖南师范大学出版社,2019-05-01,20,0
96,978-7-122-34082-5,粗苯加氢精制技术,孟祥辉，赵德玉，徐贺明编著,化学工业出版社,2019-05-01,20,0
97,978-7-5085-4243-0,当代中国经济,荣文丽著,五洲传播出版社,2019-05-01,20,0
98,978-7-122-34530-1,煤转化,张红梅主编,化学工业出版社,2019-05-01,20,0
99,978-7-5665-1606-0,暑假作业,马凤鸣总主编,内蒙古大学出版社,2019-05-01,20,0
100,978-7-122-34498-4,市场营销学,吕朝晖主编,化学工业出版社,2019-05-01,20,0
101,978-7-5201-6708-6,虚拟社会中人的虚拟性活动的哲学研究,龚振黔，黄河，龚婷著,社会科学文献出版社,2020-07-01,30,0
102,978-7-5056-3798-6,杨七郎打擂,张令涛，胡若佛绘画,连环画出版社,2020-07-01,30,0
103,978-7-03-065318-5,工程力学,周岭，于海明，杨烈霞主编,科学出版社,2020-07-01,30,0
104,978-7-5481-1371-3,危重护理操作指导,王静，邱群主编,第二军医大学出版社,2020-07-01,30,0
105,978-7-5321-7503-1,雨过天晴,(日)山本周五郎著,上海文艺出版社,2020,30,0
106,978-7-5348-9183-0,三门峡年鉴,中共三门峡市委党史地方史志办公室编,中州古籍出版社,2020-07-01,30,0
107,978-7-5510-2207-1,中学生数学文化导读,仝晶晶主编,文心出版社,2020-07-01,30,0
108,978-7-5445-5993-5,期末冲刺100分完全试卷,68所教学教科所主编,长春出版社,2020-07-01,30,0
109,978-7-5217-1925-3,真希望我父母读过这本书,(英)菲莉帕·佩里著,中信出版社,2020-07-01,30,0
110,978-7-5111-4351-8,环境生态工程CAD,赵忠宝主编,中国环境出版集团,2020-07-01,30,0
111,978-7-5334-8575-7,少儿英语基础1000词练习,(美)凯莉·里帕蒂，(美)塔玛拉·威尔伯恩著,福建教育出版社,2020-07-01,30,0
112,978-7-5682-8534-6,小学数学同步专项训练,《小学数学同步专项训练》编写组编,北京理工大学出版社,2020-07-01,30,0
113,978-7-5116-4772-6,围产期奶牛饲养管理关键技术,孙鹏编著,中国农业科学技术出版社,2020-07-01,30,0
114,978-7-5478-4951-4,工业智能化转型方法与实践,孔繁荣，郑树泉主编,上海科学技术出版社,2020-07-01,30,0
115,978-7-5553-8537-0,状元成才路,成海蛟主编,吉林教育出版社,2020-07-01,30,0
116,978-7-5722-0298-8,觉醒,(美)凯特·肖邦著,浙江教育出版社,2020-07-01,30,0
117,978-7-03-065310-9,驻极体,夏钟福，张晓青，江键著,科学出版社,2020-07-01,30,0
118,978-7-5056-3793-1,价值连城,周永生等绘画,连环画出版社,2020-07-01,30,0
119,978-7-5166-5161-2,地球上有座广州塔,广州塔旅游文化发展股份有限公司编,新华出版社,2020-07-01,30,0
120,978-7-5535-1997-5,《咬文嚼字》年度十大流行语,《咬文嚼字》编辑部编,上海文化出版社,2020-07-01,30,0
121,978-7-5442-9940-4,全脑阶梯挑战,日本公文出版编著,南海出版公司,2020-07-01,30,0
122,978-7-225-05961-7,青海省门源回族自治县标准地名志,门源回族自治县标准地名志编纂委员会办公室编,青海人民出版社,2020-07-01,30,0
123,978-7-5180-7482-2,2019/2020中国长丝织造产业发展研究,中国长丝织造协会编著,中国纺织出版社有限公司,2020-07-01,30,0
124,978-7-5689-2145-9,大学生就业指导,张美华主编,重庆大学出版社,2020-07-01,30,0
125,978-7-5166-5163-6,现代体育教学改革与信息化管理,李金玲著,新华出版社,2020-07-01,30,0
126,978-7-5132-6241-5,中医的奥秘,苏娜娜，卢甜，李瑞国主编,中国中医药出版社,2020-07-01,30,0
127,978-7-113-26862-6,动车组词汇,中华人民共和国国家铁路局组织编译,中国铁道出版社有限公司,2020-07-01,30,0
128,978-7-5072-3029-1,成长版家长用书,儿童挑战项目组编,中国中福会出版社,2020-07-01,30,0
129,978-7-5632-3956-6,安全熟悉培训,戚发勇，余锡荣，陈馨主编,大连海事大学出版社,2020-07-01,30,0
130,978-7-122-37111-9,道路交通事故案例解析与责任认定,裴保纯主编,化学工业出版社,2020-07-01,30,0
131,978-7-5178-3889-0,浙江省哲学社会科学规划课题优秀论文选编,浙江省哲学社会科学工作办公室主编,浙江工商大学出版社,2020-07-01,30,0
132,978-7-5500-3740-3,半是蜜糖半是伤,棋子著,百花洲文艺出版社,2020-07-01,30,0
133,978-7-5442-9813-1,甜蜜恋爱课,贝加著,南海出版公司,2020-07-01,30,0
134,978-7-5642-3543-7,韩国关税法,李九领，李宇，金旭译,上海财经大学出版社,2020-07-01,30,0
135,978-7-5596-4272-1,神奇小池塘洗澡书,(意)加布里埃莱·克利马文,北京联合出版公司,2020-07-01,30,0
136,978-7-5594-4930-6,笔底云霞新刀尺,周建文编著,江苏凤凰文艺出版社,2020-07-01,30,0
137,978-7-5722-0309-1,卷典,朱海峰主编,浙江教育出版社,2020-07-01,30,0
138,978-7-5581-8647-9,别在吃苦的年纪选择安逸,陈亮亮编著,吉林出版集团股份有限公司,2020-07-01,30,0
139,978-7-307-21549-8,珞珈管理评论,武汉大学经济与管理学院主办,武汉大学出版社,2020-07-01,30,0
140,978-7-5056-3800-6,黛玉葬花,周永生绘画,连环画出版社,2020-07-01,30,0
141,978-7-03-065299-7,科普场馆产业发展能力研究,冯羽等著,科学出版社,2020-07-01,30,0
142,978-7-5192-7538-9,同步冲刺,《同步冲刺》编写组编,世界图书出版广东有限公司,2020-07-01,30,0
143,978-7-5593-4886-9,虎牢关,刘锡永绘画,黑龙江美术出版社,2020-07-01,30,0
144,978-7-5313-5787-2,烟波江上,刘汉俊著,春风文艺出版社,2020-07-01,30,0
145,978-7-5148-6180-8,蓝漠的花,白二君编绘,中国少年儿童出版社,2020-07-01,30,0
146,978-7-5685-2552-7,大学体育与健康,魏洪峰，孙娜主编,大连理工大学出版社,2020-07-01,30,0
147,978-7-5576-7910-1,工程地质习题集,甄精莲，贾瑞晨主编,天津科学技术出版社,2020-07-01,30,0
148,978-7-5170-8593-5,制冷系统及设备,祝春华主编,中国水利水电出版社,2020-07-01,30,0
149,978-7-81142-721-9,人文情绪导向设计,于雷著,燕山大学出版社,2020-07-01,30,0
150,978-7-5153-6043-0,高效能人士的七个习惯,(美)史蒂芬·柯维著,中国青年出版社,2020-07-01,30,0
151,978-7-5688-9092-2,全程突破,陈明主编,延边大学出版社,2020-07-01,30,0
152,978-7-5421-4926-8,青海省藏药材标准,青海省药品监督管理局，青海省药品检验检测院编,甘肃民族出版社,2020-07-01,30,0
153,978-7-5625-4792-1,Rhino首饰建模实战案例训练,余娟 ，周玉阶编著,中国地质大学出版社有限责任公司,2020-07-01,30,0
154,978-7-5056-3803-7,陆游,邹越非绘画,连环画出版社,2020-07-01,30,0
155,978-7-5685-2543-5,假期伙伴,刘红主编,大连理工大学出版社,2020-07-01,30,0
156,978-7-5620-6730-6,航空器物权研究,李大朋著,中国政法大学出版社,2020-07-01,30,0
157,978-7-5139-3063-5,转化率实战技巧从入门到精通,营销铁军著,民主与建设出版社,2020-07-01,30,0
158,978-7-5429-5990-4,会计基础实训,袁国红，周陈莲主编,立信会计出版社,2020-07-01,30,0
159,978-7-81142-923-7,海山勒石,战国辉著,燕山大学出版社,2020-07-01,30,0
160,978-7-5688-9090-8,全程突破,陈明主编,延边大学出版社,2020-07-01,30,0
161,978-7-5131-6043-8,阅读金题80篇,肖德好主编,开明出版社,2020-07-01,30,0
162,978-7-5218-1606-8,流动人口经济行为研究,孙文凯著,经济科学出版社,2020-07-01,30,0
163,978-7-5654-3865-3,审计,马琳英主编,东北财经大学出版社,2020-07-01,30,0
164,978-7-5444-9819-7,跟着冠军学乒乓,俞彪主编,上海教育出版社,2020-07-01,30,0
165,978-7-5720-0065-2,优化思维　激发潜能,张琦著,上海教育出版社,2020-07-01,30,0
166,978-7-5645-6497-1,口腔科学,何巍，王鹏主编,郑州大学出版社,2020-07-01,30,0
167,978-7-107-34644-6,新编学生字典,人民教育出版社辞书研究中心编,人民教育出版社,2020-07-01,30,0
168,978-7-5598-2873-6,制土域民,徐歆毅著,广西师范大学出版社,2020-07-01,30,0
169,978-7-112-25200-8,感应式建筑,(美)鲁道夫·埃尔-库利，(美)克里斯托·马尔科普洛斯，卡罗尔·穆海贝尔著,中国建筑工业出版社,2020-07-01,30,0
170,978-7-5553-8513-4,状元成才路,成海蛟主编,吉林教育出版社,2020-07-01,30,0
171,978-7-5581-3664-1,新时代设计创新的重要问题解读,成蕊，周飞碟，欧阳磊主编,吉林出版集团股份有限公司,2020-07-01,30,0
172,978-7-100-18582-0,田英章《新华字典》通用规范汉字7000,田英章书,商务印书馆,2020,30,0
173,978-7-5591-1610-9,你不懂猫咪,(日)野泽延行著,辽宁科学技术出版社,2020-07-01,30,0
174,978-7-5451-5761-1,解透教材,孙水林主编,辽海出版社,2020-07-01,30,0
175,978-7-5442-9935-0,全脑阶梯挑战,日本公文出版编著,南海出版公司,2020-07-01,30,0
176,978-7-5625-4795-2,岩溶地面塌陷监测规范,中国地质灾害防治工程行业协会编著,中国地质大学出版社有限责任公司,2020-07-01,30,0
177,978-7-5641-8922-8,金3练,《金牌课课通》编写组主编,东南大学出版社,2020-07-01,30,0
178,978-7-5722-0314-5,卷典,朱海峰主编,浙江教育出版社,2020-07-01,30,0
179,978-7-5321-7694-6,中国大智慧,胡阿祥著,上海文艺出版社,2020,30,0
180,978-7-5666-1659-3,2017—2018保定社会发展研究报告,崔铁成主编,河北大学出版社,2020-07-01,30,0
181,978-7-5682-8532-2,小学语文同步专项训练,《小学语文同步专项训练》编写组编,北京理工大学出版社,2020-07-01,30,0
182,978-7-5201-6742-0,西南边疆民族研究,何明主编,社会科学文献出版社,2020-07-01,30,0
183,978-7-5699-3467-0,银翼杀手2019,(美)迈克尔·格林，(美)迈克·约翰逊编,北京时代华文书局,2020-07-01,30,0
184,978-7-5665-1803-3,内蒙古共享发展,拓俊杰著,内蒙古大学出版社,2020-07-01,30,0
185,978-7-5326-5567-0,何绍基篆书四屏两种,孙宝文编,上海辞书出版社,2020,30,0
186,978-7-107-34561-6,盲校义务教育实验教科书教师教学用书,人民教育出版社课程教材研究所音乐课程教材研究开发中心编著,人民教育出版社,2020-07-01,30,0
187,978-7-307-21560-3,中国优秀传统文化与大学生创新发展,梁贵红著,武汉大学出版社,2020-07-01,30,0
188,978-7-5649-4318-9,名师导悟,吴长立编,河南大学出版社,2020-07-01,30,0
189,978-7-206-17119-2,智慧大课堂,赵丙庆主编,吉林人民出版社,2020-07-01,30,0
190,978-7-5517-2393-0,国家国民经济和社会发展五年计划(规划)历史沿革研究,韩慈专著,东北大学出版社,2018-09-03,40,0
191,978-7-5474-3512-0,稻盛和夫,启文编著,山东画报出版社,2018-09-03,40,0
192,978-7-5506-3199-1,汉代地方工官研究,高杰著,凤凰出版社,2018-09-03,40,0
193,978-7-5180-7481-5,时尚休闲穿搭术,(日)粟野冴子著,中国纺织出版社有限公司,2018-09-03,40,0
194,978-7-111-65756-9,电子商务概论,王忠诚，潘维琴主编,机械工业出版社,2018-09-03,40,0
195,978-7-5423-4881-4,语文读本,费春梅主编,甘肃教育出版社,2018-09-03,40,0
196,978-7-5451-5760-4,解透教材,孙水林主编,辽海出版社,2018-09-03,40,0
197,978-7-5587-2855-6,云南古树名木,徐伦先编著,云南科技出版社,2018-09-03,40,0
198,978-7-5575-5526-9,非洲民间故事,罗俊杰，张爽主编,吉林美术出版社,2018-09-03,40,0
199,978-7-5719-0548-4,中医内科方药证症治则舌苔脉象歌,韩松豹，刘莉莎主编,黑龙江科学技术出版社,2018-09-03,40,0
200,978-7-5606-5724-0,工业4.0柔性装配基础及实践,许明，陈国金编著,西安电子科技大学出版社,2018-09-03,40,0
201,978-7-5689-2184-8,网店美工实战,孙令主编,重庆大学出版社,2018-09-03,40,0
202,978-7-5451-5770-3,解透教材,孙水林主编,辽海出版社,2018-09-03,40,0
203,978-7-03-065301-7,分析化学,尚庆坤等编著,科学出版社,2018-09-03,40,0
204,978-7-5510-2215-6,同步练字帖,王艳艳编,文心出版社,2018-09-03,40,0
205,978-7-5203-6562-8,中国县域治理体系现代化研究,古洪能著,中国社会科学出版社,2018-09-03,40,0
206,978-7-302-55629-9,Zabbix监控系统入门与实战,胡杨男爵著,清华大学出版社,2018-09-03,40,0
207,978-7-5722-0299-5,语文课本里的小百科,谭旭东主编,浙江教育出版社,2018-09-03,40,0
208,978-7-122-37105-8,机械制图,李俊源，李克彬，姜献峰编著,化学工业出版社,2018-09-03,40,0
209,978-7-5568-4909-3,托尼·沃尔夫给孩子的冒险故事书,(意)彼得·欧雷诺，(意)安娜丽莎·雷文,二十一世纪出版社集团,2018-09-03,40,0
210,978-7-5203-6588-8,孤独的匠人,聂清德著,中国社会科学出版社,2018-09-03,40,0
211,978-7-122-37114-0,让孩子着迷的成语游戏书,皮皮书坊编绘,化学工业出版社,2018-09-03,40,0
212,978-7-104-04951-7,中国现代文学的历史语境与文化选择,张根柱，刘香，徐元绍著,中国戏剧出版社,2018-09-03,40,0
213,978-7-5447-8311-8,快乐王子,(英)奥斯卡·王尔德(Oscar Wilde)著,译林出版社,2018-09-03,40,0
214,978-7-03-065304-8,家庭支持型领导行为研究,关浩光，李苗苗，徐小凤著,科学出版社,2018-09-03,40,0
215,978-7-5164-2150-5,客户管理必备制度与表格典范,杨宗岳编著,企业管理出版社,2018-09-03,40,0
216,978-7-305-23366-1,寄小读者,冰心著,南京大学出版社,2018-09-03,40,0
217,978-7-5576-6087-1,CT血管成像临床应用,万业达，何岸苇主编,天津科学技术出版社,2018-09-03,40,0
218,978-7-5387-6439-0,孙犁作品选,孙犁著,时代文艺出版社,2018-09-03,40,0
219,978-7-5722-0307-7,卷典,朱海峰主编,浙江教育出版社,2018-09-03,40,0
220,978-7-5104-7076-9,寻找张展,孙惠芬著,新世界出版社,2018-09-03,40,0
221,978-7-5201-6727-7,东北亚区域经济合作研究,吴昊著,社会科学文献出版社,2018-09-03,40,0
222,978-7-5653-3963-9,新时代“枫桥经验”与基层社会治安治理创新,中国人民公安大学，公安部公安发展战略研究所“枫桥经验”研究中心编,中国人民公安大学出版社,2018-09-03,40,0
223,978-7-305-23378-4,医护人员诊疗英语会话,李婷，李娜主编,南京大学出版社,2018-09-03,40,0
224,978-7-81142-849-0,低吟浅唱,王启万著,燕山大学出版社,2018-09-03,40,0
225,978-7-5350-8273-2,竹堂余事,孟会祥著,海燕出版社,2018-09-03,40,0
226,978-7-5592-0361-8,“那”乡“那”韵,赵飞著,北京美术摄影出版社,2018-09-03,40,0
227,978-7-100-18584-4,田英章《新华字典》通用规范汉字7000,田英章书,商务印书馆,2020,40,0
228,978-7-100-18572-1,宋词品读,朱崇才编著,商务印书馆,2020,40,0
229,978-7-5203-6582-6,唐代胡乐入华及审美问题研究,罗希著,中国社会科学出版社,2018-09-03,40,0
230,978-7-5587-2864-8,新时期高校学生管理的法治化,马华，王琳娜，黄莺编著,云南科技出版社,2018-09-03,40,0
231,978-7-5141-5324-8,“一带一路”倡议下中国制造业价值链地位的提升研究,杨晓静著,经济科学出版社,2018-09-03,40,0
232,978-7-5168-2615-7,10分钟趣味科学,张永佶著,台海出版社,2018-09-03,40,0
233,978-7-121-24489-6,年轻律师执业入门,陈晓峰著,电子工业出版社,2018-09-03,40,0
234,978-7-5314-8736-4,二维动画技法与表现,王守平编著,辽宁美术出版社,2018-09-03,40,0
235,978-7-5132-6240-8,中医养生的理与法,王文姮，刘志梅，田丽霞主编,中国中医药出版社,2018-09-03,40,0
236,978-7-5597-1900-3,“没头脑”和“不高兴”,任溶溶著,浙江少年儿童出版社,2018-09-03,40,0
237,978-7-5451-5769-7,解透教材,孙水林主编,辽海出版社,2018-09-03,40,0
238,978-7-5148-6184-6,我爱你，中国,徐鲁著,中国少年儿童出版社,2018-09-03,40,0
239,978-7-5314-8694-7,视觉设计创意与方法,叶苹编著,辽宁美术出版社,2018-09-03,40,0
240,978-7-5716-0972-6,天地格硬笔书法字帖,刘奈编著,沈阳出版社,2018-09-03,40,0
241,978-7-5591-1611-6,昆虫生态学理论与实践,王小奇编著,辽宁科学技术出版社,2018-09-03,40,0
242,978-7-5535-1999-9,青浦孔宅,凌耕著,上海文化出版社,2018-09-03,40,0
243,978-7-5692-6563-7,网络新闻汉译日教程,张南薰，王晓霞主编,吉林大学出版社,2018-09-03,40,0
244,978-7-5447-8325-5,原来如此的故事,(英)约瑟夫·鲁德亚德·吉卜林著,译林出版社,2018-09-03,40,0
245,978-7-5459-1763-5,木头马阅读力测评,木头马教育研究中心编,鹭江出版社,2018-09-03,40,0
246,978-7-5553-8526-4,领跑者,尚新学主编,吉林教育出版社,2018-09-03,40,0
247,978-7-207-12078-6,“四案一构”教学模式,崔巍编著,黑龙江人民出版社,2018-09-03,40,0
248,978-7-5095-9841-2,仓储作业实务,董媛媛主编,中国财政经济出版社,2018-09-03,40,0
249,978-7-5085-4404-5,当代中国经济,荣文丽著,五洲传播出版社,2018-09-03,40,0
250,978-7-5535-2011-7,情境漫画作文,钟书主编,上海文化出版社,2018-09-03,40,0
251,978-7-5201-6703-1,鼓浪屿研究,何瑞福主编,社会科学文献出版社,2018-09-03,40,0
252,978-7-102-08084-0,马克西莫夫油画训练班文献集,高洪主编,人民美术出版社,2018-09-03,40,0
253,978-7-112-25201-5,大型公共建筑改造、扩建技术研究与应用,东莞市莞城建筑工程有限公司组织编写,中国建筑工业出版社,2018-09-03,40,0
254,978-7-5066-9706-4,基层妇女联合会组织标准汇编,浙江省台州市路桥区妇女联合会编,中国标准出版社,2018-09-03,40,0
